building_id,damage_grade
300051,2
99355,2
890251,2
745817,1
421793,2
871976,2
691228,1
896100,2
343471,2
766647,2
800548,1
652685,2
590834,2
612530,2
535718,1
269418,2
281421,2
797571,2
216579,1
81554,1
132785,2
976125,2
851237,2
322922,2
786774,1
922680,2
134349,2
551456,2
194812,2
520031,2
765502,2
517764,1
174470,2
395012,2
159776,2
62638,2
65760,2
761527,2
37201,1
853163,2
562505,2
349010,2
780817,2
179897,2
845103,2
171560,2
586661,2
84102,1
610806,2
269531,2
3781,2
127674,2
820462,2
955190,2
405557,1
143219,2
360041,1
378036,2
613583,2
992040,2
849585,2
491236,2
847580,2
229211,2
173624,1
642562,2
86467,2
684629,1
304627,1
255913,2
861624,2
367328,1
13216,2
838446,2
981040,2
335849,2
823769,2
666855,2
398783,2
829946,2
326177,2
359387,2
924578,1
712624,1
946541,2
373943,2
865274,1
522404,2
841632,2
649142,1
332157,1
722082,1
279597,2
107512,2
26477,1
138895,2
553866,2
157718,2
582842,2
123399,2
189875,2
70843,1
225218,1
703273,2
245176,2
760257,2
641933,2
76772,2
302226,2
535232,2
311900,2
859468,2
496582,2
970295,1
38184,2
533972,2
787930,1
706637,2
684359,2
744804,2
675284,2
900064,2
13833,2
483231,2
993785,2
91756,2
116435,2
27649,2
806119,2
527762,2
119879,1
521901,2
960588,1
150992,1
136949,1
681857,2
676342,2
85413,2
242230,2
46916,2
343837,2
693348,2
826208,2
639042,2
180348,2
997642,1
1014983,2
995476,2
599482,2
405738,1
209844,2
51119,2
1009242,2
260072,1
504317,1
678345,2
96671,1
738466,1
475174,1
767788,1
73477,1
140388,2
514634,2
59716,2
1038485,2
531485,2
666051,2
799813,1
420703,2
589536,2
661373,2
183074,2
875195,2
734876,2
988161,2
596967,2
370776,2
422000,1
829879,2
622400,2
789622,2
780895,1
14602,2
988846,2
1052375,2
101200,2
1005009,2
892887,2
582579,2
643663,2
420773,2
593771,2
678254,1
842277,2
797666,2
247831,2
987658,1
738804,2
803821,2
450829,2
490713,2
317799,2
260213,1
563507,1
890921,2
358475,2
877097,2
611331,2
140112,2
489116,1
751219,2
637592,1
363399,2
349807,2
1010213,1
274275,2
422044,2
635742,1
162240,2
380659,2
39235,2
594817,2
276267,2
622421,2
411651,2
528011,2
851293,1
669376,2
1753,1
638718,2
751101,2
559460,2
76515,2
80460,1
553776,1
312150,2
772309,2
437345,2
487537,2
393387,2
891125,1
1023631,2
107261,2
126191,2
137116,2
929006,2
222150,2
910002,2
86044,2
176074,2
153074,1
610702,1
856941,1
617478,2
485928,2
922208,1
306370,2
236678,2
419900,2
699568,2
771219,2
991482,2
211384,2
607193,2
911675,2
526435,2
303475,1
592882,2
715235,2
493169,2
981940,2
991842,2
942957,2
547080,2
636191,2
823756,2
151559,2
467575,1
17506,2
356258,2
235542,2
950690,2
715814,2
755888,2
550420,2
447977,1
490413,2
497546,2
975798,2
27136,2
705001,2
827358,2
812768,2
198545,1
69810,2
687284,2
169271,2
560991,2
89659,1
196494,2
978469,2
541401,2
762181,2
887981,1
974381,1
214827,2
14115,2
150603,2
236827,2
826290,2
1016586,2
417251,2
199989,2
41040,2
329865,2
446380,2
573543,2
79534,1
543998,2
675804,1
631605,1
715430,2
727165,2
453777,2
887410,2
808062,2
1953,2
540933,1
623996,2
352967,2
709290,1
68067,2
968956,2
1012455,2
774608,1
240334,2
696228,2
559784,2
769031,2
474176,2
507163,2
603898,1
759753,2
645053,1
847961,2
163437,1
205013,2
937195,1
817641,2
343929,2
734640,2
906212,2
1001446,2
42716,2
419453,2
340413,2
721995,2
652323,2
458622,2
1005075,2
331964,1
931599,2
180058,2
1035486,1
922921,1
691109,2
244922,2
124734,2
545585,2
51735,2
668804,2
817800,2
505387,1
927828,1
667734,2
71864,1
275425,1
253666,2
38136,2
1045388,1
834056,2
830675,2
172719,2
281148,1
940273,2
321838,2
486381,2
653205,2
835269,2
81648,1
172425,2
727971,2
928472,2
895215,2
1023647,2
997859,1
29304,1
57153,2
528607,2
749817,2
706544,2
760999,2
778465,2
987945,2
177903,1
639871,1
829665,2
823007,1
877761,2
960378,2
994124,2
461282,2
569582,2
474338,1
446462,2
489129,2
66319,2
639951,2
4119,2
359974,1
543191,1
595402,2
1022182,1
216000,2
938235,2
292853,2
904254,2
694129,2
63746,2
925788,2
1040364,1
231970,2
667627,2
24760,2
281116,2
628374,2
927502,2
917261,1
925061,2
754879,2
648017,2
1048403,1
345848,2
206436,2
163503,2
612314,2
319962,2
652056,2
1014522,2
13140,2
214595,2
766431,2
127828,2
762655,2
79942,1
531579,2
762192,2
517526,2
790207,2
403017,2
325920,2
707937,2
788206,2
139898,2
296391,2
142435,2
133505,2
869304,2
842457,1
202608,2
161175,1
405360,1
86071,1
367521,1
432450,2
673069,2
580987,2
165889,2
482079,1
258213,2
746545,1
807496,1
63435,1
929945,2
454423,2
125564,2
1039578,2
821925,2
611670,2
848791,1
315114,2
806337,2
885249,1
44495,2
822683,2
65363,2
479789,2
935930,1
1038670,2
591363,2
897543,1
1021192,2
432497,2
626116,2
802777,2
458484,2
1016345,2
414200,2
332952,2
720464,2
674703,2
1010825,2
321516,1
417928,2
333110,2
182263,2
393724,1
39202,2
908606,2
396017,2
304135,2
164793,1
482805,2
943235,2
748629,2
533604,1
987726,2
183332,2
919789,2
525426,2
492097,2
445632,2
135396,2
89664,2
74349,2
431439,2
86065,2
32461,2
682601,2
842096,2
880209,2
729985,2
376156,2
1037740,2
870218,2
1030997,2
483615,2
710508,2
313014,2
454847,2
671272,2
53161,2
506799,2
268052,2
876028,2
760509,2
861075,2
365895,1
1007691,2
274188,2
309808,2
209749,1
318976,2
918521,2
395641,1
749278,1
267894,2
640918,1
152525,2
343831,2
1001165,2
924792,2
367506,1
334478,1
339989,2
339923,2
539661,2
933154,2
592975,2
954433,2
277788,1
307330,2
705397,1
583334,2
693735,2
518430,2
978725,1
653594,2
329473,2
207762,1
712636,1
538475,2
880616,1
118979,2
737798,1
366420,1
982240,2
486292,2
126336,2
96487,2
59634,2
664938,2
177258,2
965004,1
126895,2
265161,2
842959,2
173423,2
620874,2
323367,2
532370,2
612947,1
175841,2
275722,1
368768,1
120903,1
572270,2
308404,2
205929,2
840774,2
486200,1
412846,2
632415,2
1040817,2
628648,2
708385,2
909863,2
233843,1
111109,2
4292,2
800414,2
528939,1
833874,2
755543,2
874881,1
158145,2
589873,1
818158,2
858851,2
424589,1
762852,2
870345,2
634026,2
1018649,2
520532,2
940151,2
749772,2
898810,2
704627,2
975015,1
356457,2
287647,2
942541,1
594747,1
741464,1
91322,2
318398,2
927932,1
570044,2
443801,2
287863,2
535407,2
1017768,2
704824,1
740522,1
715884,2
132334,1
563372,1
771983,2
532594,1
423153,2
71122,2
398223,2
366404,2
238434,2
401221,2
349631,2
584806,2
927035,2
680955,2
90234,2
316892,1
1047200,2
415823,2
720019,2
852047,2
429279,2
787250,2
292896,1
753758,2
520399,2
624468,2
901271,2
230481,2
315428,2
113116,2
571049,2
949230,2
215504,2
896543,2
554433,2
1038953,1
168925,1
458736,2
806870,2
760371,2
618714,2
318145,2
536583,2
259130,1
500582,2
925915,2
86077,2
273217,2
350688,2
888691,2
146226,2
820883,2
525863,2
317365,2
223739,2
413605,2
524136,2
816052,2
478700,2
392273,1
634265,2
412986,2
668012,1
542492,1
732332,2
594982,2
67682,2
727629,2
37736,2
828278,2
91944,2
39638,1
983758,2
546088,2
103063,2
166373,2
424619,1
734119,2
251749,2
287239,2
1032709,2
422001,2
617850,2
1032294,2
943078,1
764108,2
234124,2
752055,2
903784,2
575256,1
300171,2
616284,2
243056,1
211269,2
359377,2
1012900,1
603982,2
608052,2
313351,3
214283,2
11017,2
833642,1
379498,1
583312,2
427877,2
241390,2
935643,2
894875,2
738062,1
569988,2
897228,2
897742,2
802442,2
378934,2
434104,2
130131,2
917504,2
381221,2
842945,2
19464,1
782611,2
678886,2
181643,2
468227,2
22122,2
673126,2
251086,2
1011460,2
865409,1
161348,2
944349,1
703805,1
379057,2
1031958,1
939133,1
699842,2
911850,2
39094,2
1011128,2
692163,2
618447,2
408273,1
664557,2
685263,2
153823,2
946135,2
973862,2
147075,2
358849,2
657631,2
227355,2
259404,2
676019,2
112975,2
301498,1
697832,1
62130,2
103664,2
267310,2
714969,2
563223,1
318160,2
905730,2
224906,1
951251,2
674971,2
556501,2
190313,2
269967,2
93171,2
814381,2
914057,2
4331,1
314332,2
316847,2
750027,1
102105,2
887552,2
588392,2
1004091,2
660054,2
704125,2
612306,2
694889,2
412612,2
949659,2
801510,1
169955,2
642259,2
82044,2
877316,2
360857,2
833784,2
421265,1
471919,2
297701,2
869548,2
939321,2
620062,1
783029,2
51891,1
943158,2
853263,2
757894,2
324907,2
301015,2
34666,1
378699,2
104751,2
259680,2
477024,2
825292,2
125276,2
521704,1
458784,2
492045,2
55288,2
461718,1
463178,2
821733,2
640126,1
1027551,2
109429,2
741166,1
431261,2
336147,2
39964,2
82447,2
1044850,2
363165,1
477063,2
138024,2
1008103,1
889218,2
931531,1
2922,2
883493,2
442767,2
951395,2
314494,2
88036,2
705353,2
536090,1
642505,2
116454,1
243354,2
538164,2
818210,2
732326,1
1006654,2
130803,1
644770,2
605417,2
353537,1
488394,2
594096,2
391578,1
25760,2
369955,2
18976,2
988973,2
725241,2
383180,2
820491,2
868557,2
254588,2
929901,2
1011643,1
614702,2
781560,1
531699,2
678120,2
9583,2
504972,2
484828,2
370796,2
124489,1
893653,2
104152,1
5533,2
30085,2
802619,1
138430,2
40504,2
456354,1
690267,1
197692,2
770574,2
321893,2
361256,2
756641,1
86005,2
457486,2
50276,1
579407,2
485678,2
543332,2
238843,2
57574,2
948385,1
900533,2
590421,1
502113,2
961122,1
548568,2
37646,2
318413,2
248449,1
820987,2
628283,1
589164,1
265063,2
245121,1
771015,1
717511,1
225200,1
11451,2
1374,2
1030810,1
950432,2
852734,2
532154,2
116157,2
917555,2
866869,2
712043,2
178034,1
670046,2
782494,2
305942,2
925513,2
356148,2
279932,2
49257,2
452498,2
445656,1
475079,1
623887,2
291814,2
740676,1
440988,2
578059,2
349622,2
64403,2
587609,2
462019,1
884731,2
61093,2
595448,2
469550,2
498825,1
691069,2
300188,1
456642,2
985913,2
260374,2
479829,2
881296,1
90970,2
340415,1
779807,2
597432,2
912303,2
467447,2
368068,2
207086,2
53665,2
458054,1
364935,2
30690,2
355897,2
954123,1
730526,2
121546,1
87515,2
659412,1
80885,2
451318,2
684580,2
404916,2
426415,2
335986,2
872123,2
502783,2
814431,2
537980,1
541801,2
164926,2
174699,2
432699,2
673198,1
572582,2
636377,2
87215,2
200284,2
139355,2
815643,2
152343,1
509782,2
95131,1
603803,2
742884,2
5131,2
206466,2
509106,2
170483,2
646997,1
854151,2
865174,2
399351,2
315218,2
561266,2
914524,2
845565,2
1049713,2
777483,2
282804,1
781009,2
251417,2
416032,1
404068,2
281507,2
18115,2
981798,1
368464,2
125975,1
901872,2
834186,2
215356,1
706519,2
647632,2
378645,1
83896,2
992557,1
123359,1
201195,1
459457,2
470938,2
509680,2
869612,2
185016,2
106665,2
81728,2
982291,1
862637,2
170836,2
736534,1
343073,2
32973,2
993314,2
219142,2
614937,2
1039817,2
145301,2
729808,2
385399,2
807471,2
942411,1
800609,1
951343,2
310961,2
256931,2
411445,2
541725,1
338618,2
683701,2
696406,1
841711,2
38085,2
108810,1
807038,1
1048790,2
689491,2
278467,2
176110,2
1052818,2
378835,2
73832,1
317184,2
314336,2
962331,1
616593,1
622750,2
478613,2
65879,2
870445,2
496426,2
686071,2
104274,2
50095,2
711641,2
88854,2
759844,2
674817,2
948830,2
265657,1
705412,2
980066,2
629351,1
116790,2
877579,2
